"name","lat","lon","address","source","cat"
"Sunbeam Victa Corporation","-36.8674","174.7709","Epsom Auckland 1023 New Zealand","here","shop"
"Discstation","-36.85809","174.76277","Grafton Auckland 1023 New Zealand","here","shop"
"Grand Palace","-36.84771","174.7677","Auckland Central Auckland 1010 New Zealand","here","shop"
"Hineteiwaiwa te Kohanga Reo","-36.85138","174.77339","Auckland Central Auckland 1010 New Zealand","here","education"
"Grand Palace","-36.84771","174.7677","Auckland Central Auckland 1010 New Zealand","here","shop"
"Porter's Original Paints","-36.84821","174.77327","Auckland Central Auckland 1010 New Zealand","here","shop"
"Servilles Academy of Hairdressing","-36.84684","174.76572","Auckland Central Auckland 1010 New Zealand","here","education"
"Gio Hair & Nail","-36.86935","174.77794","Newmarket Auckland 1023 New Zealand","here","office"
"Albert Park Cafe","-36.84986","174.76654","Auckland Central Auckland 1010 New Zealand","here","cafe"
"The Coffee Club","-36.84814","174.76656","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"SUBWAY","-36.84705","174.77888","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Social Cooking","-36.85107","174.758399","Auckland Central Auckland 1010 New Zealand","here","education"
"Unilodge Beach Road","-36.84922","174.77453","Auckland Central Auckland 1010 New Zealand","here","residence"
"Zintel Communications","-36.84968","174.75248","Freemans Bay Auckland 1011 New Zealand","here","delete"
"Gallery Cafe","-36.84694","174.77202","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Rainey Collins Wright","-36.84721","174.77017","Auckland Central Auckland 1010 New Zealand","here","office"
"Wellpark College of Natural Therapies","-36.85903","174.73054","Grey Lynn Auckland 1021 New Zealand","here","education"
"Parnell Rise Near Stanley St","-36.850552","174.77462","Auckland Central Auckland 1010 New Zealand","here","delete"
"Symonds St Wall of the Fallen","-36.85879","174.76372","Grafton Auckland 1023 New Zealand","here","activities"
"Auckland Radiology Group","-36.84626","174.76613","Auckland Central Auckland 1010 New Zealand","here","medical"
"The Black Hoof","-36.84734","174.76505","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Old Cornmill Deli","-36.85817","174.76375","Grafton Auckland 1023 New Zealand","here","cafe"
"Alarm New Zealand","-36.85868","174.75677","Auckland Central Auckland 1010 New Zealand","here","education"
"Bretmar Transmission","-36.849925","174.763725","Auckland Central Auckland 1010 New Zealand","here","car"
"Embroidme","-36.85189","174.75968","Auckland Central Auckland 1010 New Zealand","here","shop"
"The Brick Shirt House","-36.84769","174.76788","Auckland Central Auckland 1010 New Zealand","here","shop"
"BBQ King","-36.84816","174.7652","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Sebel Quay West Suites","-36.84492","174.76513","Auckland Central Auckland 1010 New Zealand","here","hotel"
"Rad3 Limited","-36.8492","174.75063","Freemans Bay Auckland 1011 New Zealand","here","delete"
"Upstairs Antiques","-36.84511","174.7667","Auckland Central Auckland 1010 New Zealand","here","shop"
"More Than Print","-36.84967","174.7512","92 Franklin Rd Freemans Bay Auckland 1011 New Zealand","here","shop"
"City Convenience Store","-36.84512","174.76494","Auckland Central Auckland 1010 New Zealand","here","grocery"
"Cremorne Reserve","-36.84294","174.731","6 Cremorne St Herne Bay Auckland 1011 New Zealand","here","park"
"Kinz","-36.85579","174.76234","Auckland Central Auckland 1010 New Zealand","here","education"
"Eden Park","-36.87655","174.74547","Mount Eden Auckland 1024 New Zealand","here","sports"
"Karangahape Rd by Cemetery","-36.85823","174.76324","Grafton Auckland 1023 New Zealand","here","delete"
"Jewellery Valuation Centre","-36.84686","174.76771","Auckland Central Auckland 1010 New Zealand","here","shop"
"Tricks Magic Shop","-36.84607","174.76436","Auckland Central Auckland 1010 New Zealand","here","office"
"Joong Wha Ru","-36.85565","174.76246","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Skin Institute","-36.85396","174.77251","Parnell Auckland 1052 New Zealand","here","medical"
